id,dutch_address,documented_residence,current_age,own_income,total_income,total_assets,first_home_equity,eligible_other_assistance,imprisoned_or_detained,work_obligation_exemption,other_adults_in_household,children,has_partner
119,true,true,46,824,824,30669,0,false,false,false,1,1,false
120,true,true,42,938,938,13787,0,false,false,false,1,2,false
121,true,true,59,965,965,10857,0,false,false,false,0,2,false
122,true,true,42,0,0,30218,0,false,false,false,1,1,false
123,true,true,51,0,0,17144,0,false,false,false,2,2,false
124,true,true,35,411,411,8653,392614,false,false,false,0,1,false
125,true,true,47,123,123,3675,0,false,false,false,1,1,false
126,true,true,43,0,0,15535,427348,false,false,false,2,1,false
127,false,true,52,1781,1781,6714,0,false,false,false,0,0,false
128,true,true,36,479,479,22932,0,false,false,true,1,1,false
129,true,true,61,344,344,21993,406107,false,false,false,2,0,false
130,true,true,38,1151,1151,7691,0,false,false,false,1,1,false
131,true,true,43,0,0,19553,0,false,false,false,1,0,false
132,true,true,63,0,598,5566,0,false,false,true,1,1,true
133,true,true,57,0,0,4503,0,false,false,false,1,1,true
134,true,true,44,582,910,7322,0,false,false,true,1,0,true
135,true,true,57,152,152,9377,0,false,false,true,0,0,false
136,true,true,46,450,450,23237,0,false,false,true,1,1,false
137,true,true,42,581,581,48088,0,false,false,true,0,1,false
138,true,true,50,1557,1557,13103,0,false,false,false,0,0,false
139,true,true,38,1218,1218,12765,0,false,false,true,1,0,false
140,true,true,62,1939,1939,19465,0,false,false,false,0,1,false
141,true,true,43,410,410,30144,0,false,false,true,1,1,false
142,true,true,44,534,2132,35981,0,false,false,true,2,1,true
143,true,true,67,399,796,8934,0,false,false,false,1,1,true
144,true,true,29,357,947,34865,0,false,false,false,1,2,true
145,true,true,43,433,433,10125,0,false,false,false,1,0,false
146,true,true,41,503,503,15484,0,false,false,false,1,0,false
147,true,true,45,697,697,21551,0,false,false,true,0,1,true
148,true,true,42,1208,1208,8424,0,false,false,true,2,0,false
149,true,true,55,0,0,40677,0,false,false,false,2,0,false
150,true,true,34,672,672,37628,0,false,false,true,1,2,false
151,true,true,55,0,0,36300,0,false,false,false,1,1,false
152,true,true,66,375,1068,17405,0,false,false,true,1,0,true
153,true,true,37,668,668,37106,0,false,false,false,1,1,false
154,true,true,58,825,825,31986,0,false,false,true,1,1,false
155,true,true,63,0,527,18839,0,false,false,true,1,1,true
156,true,true,63,936,1722,7334,0,false,false,false,0,0,true
157,true,true,50,0,0,11052,0,false,false,false,1,1,true
158,true,true,51,0,0,14427,0,false,false,false,1,0,false
159,true,true,61,963,963,12530,0,false,false,true,0,0,false
160,true,true,40,577,577,19876,0,false,false,false,0,1,false
161,true,true,65,0,543,11982,359058,false,false,true,1,0,true
162,false,true,40,731,731,30711,461175,false,false,false,2,1,false
163,true,true,63,929,2217,14354,0,false,false,false,0,0,true
164,true,true,59,0,0,7209,0,false,false,true,2,0,true
165,true,true,62,1035,1035,6571,0,false,false,true,0,1,false
166,true,true,32,928,928,9796,0,false,false,false,1,2,false
167,true,true,54,0,0,25047,0,false,false,false,1,0,false
168,true,true,42,415,415,7928,282107,false,false,false,1,0,false
169,true,true,47,737,1430,22501,0,false,false,false,1,0,true
170,true,true,64,287,865,20898,0,false,false,false,1,0,true
171,true,true,36,726,1124,15449,0,false,false,false,1,0,true
172,true,true,64,1124,1638,33206,0,false,false,false,1,0,true
173,true,true,39,0,0,23974,0,false,false,false,1,2,false
174,true,true,47,0,0,9669,0,false,false,true,1,0,false
175,true,true,49,1201,1201,31038,0,false,false,false,1,1,false
176,true,true,36,500,1217,18359,0,false,false,true,1,1,true
177,true,true,40,726,1630,23757,0,false,false,false,0,1,true
178,true,true,65,0,931,29351,0,false,false,true,1,2,true
179,true,true,60,0,871,23505,0,false,false,false,0,0,true
180,true,true,58,281,281,33930,0,false,false,true,1,1,false
181,true,true,51,453,1193,22390,0,false,false,false,2,0,true
182,true,true,60,257,257,10720,0,false,false,false,0,1,false
183,true,true,46,1151,1930,10895,0,false,false,false,1,3,true
184,true,true,55,0,0,27432,0,false,false,false,3,2,false
185,true,true,41,471,471,35564,0,false,false,true,0,2,false
186,true,true,55,0,612,28018,0,false,false,true,1,1,true
187,true,true,41,334,334,10587,0,false,false,false,0,0,false
188,true,true,49,1241,1241,8967,0,false,false,false,1,1,false
189,true,true,37,0,0,9096,0,false,false,true,1,0,false
190,true,true,51,212,212,31795,393213,false,false,true,0,0,false
191,true,true,44,645,645,24378,0,false,false,false,2,0,true
192,true,true,38,0,701,22905,0,false,false,true,1,1,true
193,true,true,41,410,703,6838,0,false,false,false,1,2,true
194,true,true,53,0,0,12120,0,false,false,false,1,0,false
195,true,true,32,465,465,21762,0,false,false,false,1,2,false
196,true,true,65,1463,1463,12299,0,false,false,false,0,0,false
197,true,true,47,1010,1010,24473,0,false,false,false,1,1,true
198,true,true,27,1037,2211,17960,338385,false,false,false,1,1,true
199,true,true,48,433,433,32117,0,false,false,false,0,1,false
200,true,true,58,698,698,35786,0,false,false,true,1,1,false
201,true,true,65,0,570,34780,0,false,false,true,2,1,true
202,true,true,56,530,530,12692,0,false,false,true,1,0,false
203,true,true,58,784,1203,24030,0,false,false,false,0,0,true
204,true,true,58,1521,1521,30672,0,false,false,false,1,0,false
205,true,true,55,610,610,17594,420890,false,false,false,1,1,false
206,true,true,54,902,902,31288,0,false,false,false,1,1,false
207,true,true,58,0,0,21937,0,false,false,false,1,1,false
208,true,true,51,720,1821,19273,0,false,false,true,1,2,true
209,true,true,60,388,388,40794,0,false,false,false,1,1,false
210,true,true,44,234,234,32710,0,false,false,true,0,1,false
211,true,true,31,715,1305,21447,0,false,false,false,1,1,true
212,true,true,42,1269,1269,21439,0,false,false,false,0,0,false
213,true,true,54,556,1547,10870,0,false,false,true,1,1,true
214,true,true,43,0,0,43426,0,false,false,true,1,0,false
215,true,true,46,911,1813,6942,0,false,false,true,1,1,true
216,true,true,36,0,0,17994,0,false,false,false,0,0,false
217,true,true,47,0,651,35420,0,false,false,true,0,1,true
218,true,true,44,0,0,27223,0,false,false,false,1,2,false
219,true,true,65,970,970,49744,0,false,false,true,0,1,false
220,true,true,57,1319,1731,23904,0,false,false,true,1,0,true
221,true,true,53,0,0,17523,0,false,false,true,0,1,true
222,true,true,53,481,1290,11831,0,false,false,true,0,1,true
223,true,true,54,620,620,15726,0,false,false,false,1,0,false
224,true,true,59,1396,1396,17264,286825,false,false,true,1,1,false
225,true,true,54,946,1855,31005,335676,false,false,true,1,1,true
226,true,true,44,920,920,13870,0,false,false,true,2,1,true
227,false,true,32,0,0,1634,0,false,false,true,1,1,false
228,true,true,29,707,707,7516,0,false,false,false,1,1,false
229,true,true,51,1098,1098,17761,0,false,false,false,1,0,false
230,true,true,46,1054,1054,55465,0,false,false,false,2,0,false
231,true,true,49,453,1024,38619,0,false,false,false,0,1,true
232,true,true,63,474,474,19196,0,false,false,false,2,1,false
233,true,true,63,1699,1699,31988,0,false,false,false,1,0,false
234,true,true,56,1403,1403,26438,0,false,false,false,1,1,false
235,true,true,45,902,902,17019,0,false,false,false,1,1,false
236,true,true,67,1088,2188,10633,0,false,false,true,1,1,true
237,true,true,44,0,0,16363,0,false,true,false,1,1,false
238,true,true,43,1584,1584,25432,0,false,false,true,0,1,false
239,true,true,27,211,211,43316,0,false,false,true,1,2,false
240,true,true,57,329,329,21151,0,false,false,true,0,2,false
241,true,true,24,477,1044,20282,0,false,false,false,3,1,true
242,true,true,63,600,600,24702,0,false,false,true,1,1,false
243,true,true,50,0,0,8114,0,false,false,false,1,0,false
244,true,true,57,1415,1415,10414,0,false,false,false,0,1,false
245,false,true,25,987,987,34710,351857,false,false,false,1,2,true
246,true,true,54,891,891,7836,0,false,false,false,1,1,true
247,true,true,65,0,0,40417,0,false,false,true,0,1,false
248,true,true,49,773,773,14763,0,false,false,false,1,1,false
249,true,true,41,1314,1314,51669,0,false,false,true,0,0,false
250,true,true,45,1194,1194,31886,0,false,false,true,1,1,false
251,true,true,45,479,1236,15261,0,false,false,true,1,0,true
252,true,true,41,761,1716,9893,0,false,false,true,2,0,true
253,true,true,53,2203,2203,10477,0,false,false,true,0,0,false
254,true,true,42,826,1679,29517,0,false,false,false,1,2,true
255,true,true,47,450,450,21261,0,false,false,false,0,2,true
256,true,true,37,1246,1246,12208,0,false,false,true,3,1,false
257,true,true,33,0,0,14497,0,false,false,false,1,0,false
258,false,true,51,752,752,16818,451782,false,false,false,0,2,false
259,true,true,61,145,680,18743,0,false,false,true,0,1,true
260,true,true,51,414,414,11686,256640,false,false,false,1,0,false
261,true,true,34,779,779,6012,0,false,false,false,1,1,false
262,true,true,48,744,744,15556,0,false,false,false,2,1,false
263,false,true,31,425,425,21111,0,false,false,false,0,1,false
264,true,true,51,1057,1057,15690,0,false,false,false,3,1,false
265,true,true,60,440,440,38537,446967,false,false,false,2,1,false
266,true,true,45,0,1262,15614,0,false,false,true,2,1,true
267,true,true,44,718,718,36951,0,false,false,true,0,1,false
268,true,true,49,1360,1360,18432,0,false,false,false,1,1,false
269,false,true,67,387,1075,24265,0,false,false,true,0,1,true
270,true,true,42,579,2115,10645,0,false,false,false,2,1,true
271,false,true,56,346,346,18488,306458,false,false,false,0,2,false
272,true,true,30,338,338,6943,0,false,false,true,1,1,false
273,true,true,33,0,517,13828,0,false,false,false,1,3,true
274,true,true,42,363,1372,34205,0,false,false,false,1,1,true
275,true,true,38,177,177,9335,0,false,false,true,0,0,true
276,true,true,42,0,0,21164,0,false,false,false,0,1,true
277,true,true,65,0,0,8715,0,false,false,false,0,1,false
278,true,true,60,832,832,15447,0,false,false,false,2,0,false
279,true,true,65,922,922,29564,421351,false,false,false,2,1,false
280,true,true,56,746,746,49218,0,false,false,false,1,0,false
281,true,true,51,1113,1606,20973,0,false,false,true,0,1,true
282,true,true,49,1093,1093,38547,0,false,false,true,0,1,false
283,true,true,29,361,361,10323,0,false,false,false,2,1,false
284,true,true,49,1410,1410,9619,0,false,false,false,0,0,false
285,true,true,32,554,1187,14200,0,false,false,true,2,2,true
286,true,true,24,589,589,6024,0,false,false,false,2,1,false
287,true,true,37,485,485,19203,0,false,false,false,0,1,false
288,true,true,38,519,519,11896,0,false,false,false,0,1,false
289,true,true,61,774,774,19336,0,false,false,false,1,1,false
290,true,true,33,1259,2179,13780,0,false,false,true,0,4,true
291,true,true,64,555,555,16981,0,false,false,false,0,0,false
292,true,true,51,0,0,27500,0,false,false,false,1,2,false
293,true,true,37,0,777,25046,0,false,false,true,0,0,true
294,true,true,57,0,0,28351,0,false,false,false,1,1,false
295,true,true,34,352,352,10439,269610,false,false,false,0,1,false
296,true,true,34,616,616,15853,0,false,false,true,1,0,false
297,false,true,43,406,406,33319,0,false,false,true,1,2,false
298,true,true,43,0,1063,10965,0,false,false,false,1,3,true
299,true,true,63,360,360,4897,310011,false,false,false,3,0,false
300,true,true,59,643,643,46648,307484,false,false,false,1,1,false
301,true,true,58,584,584,11398,0,false,false,false,1,1,true
302,true,true,34,422,422,30529,0,false,false,false,1,0,false
303,true,true,54,440,440,34181,0,false,false,false,1,0,false
304,true,true,41,1420,2572,41234,0,false,false,false,0,0,true
305,true,true,66,916,916,23543,0,false,false,true,0,0,true
306,false,true,47,0,0,16199,0,false,false,false,3,1,true
307,true,true,56,0,0,26558,0,false,false,true,1,0,false
308,true,true,54,1158,2352,27893,0,false,false,true,2,2,true
309,true,true,41,1129,1129,15488,0,false,false,false,0,0,false
310,true,true,62,0,0,20427,0,false,false,true,0,1,false
311,true,true,50,399,399,17290,291994,false,false,false,0,0,false
312,true,true,56,1794,1794,15126,0,false,false,true,1,2,false
313,true,true,22,0,0,30404,0,false,false,false,2,1,false
314,true,true,62,1184,1184,13204,0,false,false,false,1,1,false
315,true,true,54,1857,1857,18791,0,false,false,false,1,0,false
316,false,true,60,0,0,23203,0,false,false,false,0,0,false
317,true,true,51,397,1118,13904,0,false,false,false,1,0,true
318,true,true,55,398,1239,19777,0,false,false,true,0,1,true
319,true,true,48,1034,1034,13751,0,false,false,false,0,0,false
320,true,true,36,1060,1060,23170,0,false,false,true,2,2,false
321,true,true,46,0,0,21798,354265,false,false,false,0,1,false
322,false,true,52,912,912,11888,0,false,false,false,1,0,false
323,true,true,49,785,785,38494,452266,false,false,true,1,0,false
324,true,true,41,0,651,6888,0,false,false,true,1,1,true
325,true,true,63,1177,1177,37046,0,false,false,true,1,0,true
326,true,true,46,0,619,19912,0,false,false,false,1,1,true
327,true,true,52,1417,2832,23507,331224,false,false,false,0,1,true
328,true,true,51,1221,1221,21633,0,false,false,false,0,1,false
329,true,true,58,465,465,13485,0,false,false,true,2,1,false
330,true,true,58,0,649,21171,0,false,false,false,2,1,true
331,true,true,45,826,826,23945,0,false,false,false,1,2,false
332,true,true,46,1126,1126,22029,0,false,false,true,0,1,false
333,true,true,56,0,0,27350,0,false,false,false,3,1,false
334,true,true,55,1025,2341,21585,0,false,false,true,1,0,true
335,true,true,58,526,526,9899,413780,false,false,false,1,1,false
336,true,true,53,0,0,4464,0,false,false,false,1,1,false
337,true,true,55,1000,1000,19206,0,false,false,false,0,1,false
338,true,true,46,930,930,16483,0,false,false,false,0,1,false
339,true,true,58,1015,1015,18843,0,false,false,false,0,2,false
340,true,true,57,748,748,50280,0,false,false,false,1,1,false
341,true,true,39,810,810,40260,0,false,false,true,1,2,false
342,false,true,56,0,0,9005,0,false,false,true,1,0,false
343,true,true,29,1076,1076,26153,0,false,false,false,2,2,false
344,true,true,38,671,671,12812,0,false,false,false,2,0,false
345,true,true,52,0,0,17803,0,false,false,false,0,1,false
346,true,true,57,783,783,26343,0,false,false,true,1,0,false
347,false,true,66,398,398,27525,0,false,false,false,2,1,false
348,true,true,47,690,690,18353,363268,false,false,true,1,0,false
349,true,true,52,1117,1528,53400,0,false,false,false,0,2,true
350,true,true,45,417,417,16903,0,false,false,false,1,0,true
351,true,true,55,0,0,17456,0,false,false,true,2,1,false
352,true,true,57,549,549,11143,0,false,false,false,0,1,false
353,true,true,44,907,907,8170,0,false,false,true,0,0,false
354,true,true,39,0,0,17737,0,false,false,false,0,2,false
355,true,true,46,692,692,15319,0,false,false,false,0,2,false
356,true,true,52,1187,1678,37012,0,false,false,false,1,0,true
357,true,true,62,717,717,27617,0,false,false,false,2,0,false
358,true,true,43,698,698,15650,0,false,false,false,1,0,false
359,true,true,64,1200,1200,8979,0,false,false,false,0,0,false
360,true,true,39,411,411,41359,0,false,false,true,1,1,false
361,true,true,44,1230,1230,21579,0,false,false,true,2,0,false
362,true,true,59,1435,1435,42000,0,false,false,true,1,2,false
363,true,true,48,983,1648,7088,0,false,false,true,1,1,true
364,true,true,58,713,713,32748,0,false,false,true,1,0,false
365,true,true,57,701,701,12618,0,false,false,false,2,0,false
366,true,true,49,655,655,33291,0,false,false,false,0,1,false
367,true,true,57,1091,1091,12988,0,false,false,true,1,0,false
368,true,true,55,0,0,16739,0,false,false,true,2,1,false
369,true,true,50,826,826,21490,0,false,false,false,0,1,false
370,true,true,49,960,960,19144,0,false,false,true,1,0,false
371,true,true,47,2369,2369,25327,0,false,false,true,1,2,false
372,true,true,53,405,405,35339,0,false,false,false,0,2,false
373,true,true,65,0,0,45558,0,false,false,false,0,1,false
374,true,true,58,0,1113,1768,0,false,false,true,1,1,true
375,true,true,60,646,904,10313,0,false,false,false,0,1,true
376,false,true,46,545,545,26644,0,false,false,false,0,0,false
377,true,true,50,620,1575,22357,0,false,false,true,1,0,true
378,false,true,53,1180,1489,16232,0,false,false,true,0,2,true
379,true,true,55,408,408,13610,0,false,false,false,0,1,false
380,true,true,46,0,0,22633,0,false,false,false,0,0,false
381,true,true,53,770,770,24879,0,false,false,false,0,0,false
382,true,true,51,0,0,19543,0,false,false,false,2,0,false
383,true,true,42,0,0,4017,0,false,false,false,1,0,false
384,false,true,40,779,779,7494,0,false,false,false,2,1,false
385,true,true,50,1156,1156,47825,0,false,false,false,0,1,true
386,true,true,29,494,494,18901,0,false,false,false,2,2,false
387,true,true,54,0,0,9096,0,false,false,false,1,0,false
388,true,true,60,0,1524,16631,0,false,false,false,0,2,true
389,true,true,64,993,2188,13937,0,false,false,true,1,0,true
390,true,true,30,394,394,11069,0,false,false,false,1,1,false
391,true,true,65,340,340,15392,0,false,false,false,0,0,false
392,true,true,63,0,0,28533,0,false,false,false,2,2,false
393,true,true,58,555,555,20355,0,false,false,false,1,0,false
394,true,true,56,342,342,30031,0,false,false,false,1,1,true
395,true,true,60,1509,2037,14807,0,false,false,true,1,0,true
396,true,true,50,0,285,13605,0,false,false,false,0,2,true
397,true,true,33,1758,1758,45364,0,false,false,false,1,1,false
398,true,true,38,522,1473,16866,0,false,false,false,2,2,true
399,true,true,48,0,0,21816,0,false,false,false,0,0,false
400,true,true,41,271,271,9950,0,false,false,false,1,1,false
401,true,true,37,0,0,6846,0,false,false,false,0,1,true
402,true,true,42,0,0,48229,0,false,false,false,0,1,false
403,true,true,50,422,422,30285,0,false,false,false,2,2,false
404,true,true,55,0,0,24406,0,false,false,false,1,1,false
405,false,true,42,522,1486,15855,0,false,false,true,0,0,true
406,true,true,36,1197,1197,7580,0,false,false,true,0,2,true
407,true,true,52,0,0,21353,0,false,false,false,0,0,false
408,true,true,46,0,0,9588,0,false,false,true,1,0,false
409,true,true,45,0,0,18072,399815,false,false,true,1,1,false
410,true,true,56,0,1391,30737,226467,false,false,false,2,3,true
411,true,true,55,579,579,33964,0,false,false,true,1,0,false
412,true,true,51,437,437,9403,0,false,false,false,3,2,false
413,true,true,33,518,1191,11796,234908,false,false,false,0,1,true
414,true,true,41,0,0,8643,0,false,false,false,0,0,false
415,true,true,29,1109,1109,13626,0,false,false,false,2,1,true
416,true,true,66,426,426,41259,0,false,false,false,1,1,false
417,true,true,51,0,0,15050,0,false,false,false,0,0,false
418,true,true,59,1061,1061,28224,0,false,false,true,1,0,false
419,true,true,54,165,165,15891,0,false,false,false,1,1,false
420,true,true,35,786,2671,21800,0,false,false,false,2,0,true
421,true,true,60,1469,1469,19176,0,false,false,false,0,1,true
422,true,true,35,543,543,31308,0,false,false,false,1,2,false
423,true,true,27,921,921,30038,0,false,false,false,1,1,true
424,true,true,44,395,724,32540,0,false,false,true,1,2,true
425,true,true,50,575,575,21176,0,false,false,false,1,1,false
426,true,true,56,685,685,13439,360083,false,false,false,0,0,false
427,true,true,59,0,0,9073,0,false,false,false,2,0,false
428,true,true,58,1858,2520,39063,0,false,false,true,0,0,true
429,true,true,57,459,955,33226,0,false,false,false,2,0,true
430,true,true,47,160,160,30787,0,false,false,false,1,1,false
431,true,true,56,947,947,9854,0,false,false,false,1,1,false
432,true,true,49,0,0,11909,0,false,false,false,1,1,false
433,true,true,43,663,663,14533,377737,false,false,false,1,1,true
434,false,true,43,1198,1198,26444,0,false,false,false,1,1,false
435,true,true,59,889,2437,17216,0,false,false,false,0,2,true
436,true,true,52,799,799,16744,433189,false,false,false,0,0,true
437,true,true,59,508,508,9130,0,false,false,false,0,0,false
438,true,true,50,1024,1024,24315,0,false,false,true,2,0,false
439,true,true,64,545,545,29786,0,false,false,false,1,1,false
440,true,true,36,352,352,18775,0,false,false,true,1,0,false
441,true,true,39,1043,2396,7697,0,false,false,false,1,0,true
442,true,true,39,0,0,37514,0,false,false,true,1,1,false
443,true,true,43,676,676,23448,0,false,false,false,0,0,false
444,true,true,49,0,0,24935,0,false,false,true,1,1,false
445,true,true,39,955,955,54978,0,false,false,false,0,1,false
446,true,true,33,1948,1948,10412,0,false,false,false,2,0,false
447,true,true,66,0,501,18818,0,false,false,true,1,1,true
448,true,true,64,503,503,15019,0,false,false,false,2,0,false
449,true,true,58,261,261,26818,0,false,false,false,1,0,false
450,true,true,55,1247,1247,19837,0,false,false,false,2,1,false
451,true,true,60,1090,1090,17996,0,false,false,false,0,1,false
452,true,true,62,1338,1338,22402,0,false,false,false,1,1,false
453,true,true,36,0,0,17894,0,false,false,true,2,1,true
454,true,true,57,976,976,46664,0,false,false,true,0,0,false
455,true,true,59,0,0,27492,0,false,false,false,0,2,false
456,true,true,60,240,240,9597,300487,false,false,false,0,1,false
457,true,true,56,1409,1409,9223,417715,false,false,true,1,0,false
458,true,true,45,1061,1061,6986,0,false,false,false,1,0,false
459,true,true,40,943,943,19836,0,false,false,false,0,2,true
460,true,true,60,0,0,52816,0,false,false,true,1,0,false
461,true,true,23,1105,1105,37259,0,false,false,true,0,2,false
462,true,true,45,1714,2023,24476,0,false,false,false,1,1,true
463,true,true,50,0,0,13754,0,false,false,true,3,2,true
464,true,true,66,253,253,21768,0,false,false,false,1,0,false
465,true,true,46,459,459,22740,0,false,false,true,0,1,false
466,true,true,64,500,500,13630,0,false,false,true,2,0,false
